JOIN US TODAY,LIITY JOUKKOOMME TÄNÄÄN,,,
Connect With Facebook,Yhdistä Facebook-tiliisi,,,
Skip for now,Ohita nyt,,,
Use your Facebook Info,Käytä Facebook-tietojasi,,,
Continue,Jatka,,,
or,tai,,,
Sign Up,Rekisteröidy,,,
Do not show this again,Älä näytä tätä uudelleen,,,
Unlock all chapters,Avaa kaikki luvut,,,
Full course only,Vain koko kurssi,,,
Try 1 FREE chapter,Kokeile yhtä ILMAISTA lukua,,,
Just hang on...,Odota hetki...,,,
Downloading chapters...,Ladataan lukuja...,,,
Downloading images...,Ladataan kuvia...,,,
Downloading videos...,Ladataan videoita...,,,
Introduction,Johdanto,,,
Male,Mies,,,
Female,Nainen,,,
Select your country here,Valitse maa tästä,,,
Mobile Number,Matkapuhelinnumero,,,
Sign up with your details,Rekisteröidy tiedoillasi,,,
By,Kautta,,,
"Never stop learning!<br/>Learn any time, any where.","Älä koskaan lopeta oppimista!<br/>Opi missä tahansa, milloin tahansa.",,,
Restore Purchase,Palauta ostos,,,
Swipe left or right to navigate between Flashcards.,Pyyhkäise vasemmalle tai oikealle selataksesi muistikortteja.,,,
Swipe to go forward.,Pyyhkäise siirtyäksesi eteenpäin.,,,
You're ready to go.,Olet valmis aloittamaan.,,,
Start the Course,Aloita kurssi,,,
Track your progress,Seuraa edistystäsi,,,
Have you already registered?,Oletko jo rekisteröitynyt?,,,
You will receive a pin through SMS to confirm your mobile number,Saat tekstiviestillä PIN-koodin vahvistaaksesi matkapuhelinnumerosi,,,
You can try,Voit kokeilla,,,
Please enter the PIN you received to confirm,Syötä saamasi PIN-koodi vahvistaaksesi,,,
"If you connect with Facebook, we can include some good suggestions that you may like.","Jos yhdistät Facebookiin, voimme antaa sinulle hyviä ehdotuksia, joista saatat pitää.",,,
No Thanks!,Ei kiitos!,,,
You're good to go!,Olet valmis aloittamaan!,,,
Invalid Pin,Virheellinen PIN-koodi,,,
You can subscribe to enjoy unlimited service!,Tilaamalla pääset nauttimaan rajattomasta palvelusta!,,,
Preview the course for FREE,Esikatsele kurssia ILMAISEKSI,,,
Download the course,Lataa kurssi,,,
You have <b>{{trialTimeLeft}}</b> free minutes left,Sinulla on <b>{{trialTimeLeft}}</b> ilmaista minuuttia jäljellä,,,
You can subscribe to enjoy unlimited service!,Tilaamalla pääset nauttimaan rajattomasta palvelusta!,,,
Subscribe for only {{price}}/{{duration}},Tilaa vain hintaan {{price}}/{{duration}},,,
Download this course to your Mobile,Lataa tämä kurssi matkapuhelimeesi,,,
You have <b>{{trialTimeLeft}}</b> minutes left,Sinulla on <b>{{trialTimeLeft}}</b> minuuttia jäljellä,,,
Day,Päivä,,,
Week,Viikko,,,
Month,Kuukausi,,,
Unlock this course to continue,Avaa tämä kurssi jatkaaksesi,,,
Get unlimited access to the entire collection of courses,Hanki rajaton käyttöoikeus koko kurssivalikoimaan,,,
Connect,Yhdistä,,,
Connect with Facebook,Yhdistä Facebook-tiliisi,,,
Sign up,Rekisteröidy,,,
Sign up now!,Rekisteröidy nyt!,,,
Your trial time has expired!,Kokeiluaikasi on päättynyt!,,,
Today's picks,Päivän valitut,,,
Most popular,Suosituimmat,,,
Best new courses,Parhaat uudet kurssit,,,
Others have also viewed,Muut ovat katselleet myös,,,
"Please wait while we connect with facebook, if this is taking too long you could double tap to cancel","Odota, että saamme yhdistettyä Facebookiin - jos tämä kestää liian kauan, voit peruuttaa tuplanapautuksella",,,
Your trial time has expired,Kokeiluaikasi on päättynyt,,,
Let's Begin!,Aloitetaan!,,,
Start Loading,Aloita lataus,,,
Load It Now,Lataa nyt,,,
Get Content,Hae sisältö,,,
Fetch From Server,Hae palvelimelta,,,
Load Content,Lataa sisältö,,,
You have been successfully subscribed!,Tilauksesi onnistui!,,,
Subscription not found or expired!,Tilausta ei löytynyt tai se on umpeutunut!,,,
Unable to contact server,Palvelimeen ei saada yhteyttä,,,
Tap to try again.,Napauta yrittääksesi uudelleen.,,,
Log Out,Kirjaudu ulos,,,
Profile Management,Profiilin hallinta,,,
Service info & deactivation,Palvelun tiedot & käytöstä poistaminen,,,
You might also like:,Saatat pitää myös:,,,
Please enter a valid mobile number,Syötä voimassa oleva matkapuhelinnumero,,,
Logged out successfully,Olet nyt kirjautunut ulos,,,
to finish,lopetukseen,,,
Only the first chapter of every course is free to try.,Vain kunkin kurssin ensimmäinen luku on kokeiltavissa ilmaiseksi.,,,
Subscribe to Mobile Academy and get unlimited access to the largest collection of high quality courses on your mobile!,"Tilaa Mobile Academy, niin saat älypuhelimellesi rajattoman käyttöoikeuden suurimpaan laadukkaiden kurssien valikoimaan!",,,
Swipe to flip the flashcard and see the answer.,Pyyhkäise kääntääksesi muistikortin ja nähdäksesi vastauksen.,,,
Swipe again to go to next flashcard.,Pyyhkäise uudelleen siirtyäksesi seuraavaan muistikorttiin.,,,
Tap on any course to start. Scroll down to discover more choices.,Napauta mitä tahansa kurssia aloittaaksesi. Vieritä alas nähdäksesi lisää vaihtoehtoja.,,,
Tap on the right answer to continue to the next question.,Napauta oikeaa vastausta jatkaaksesi seuraavaan kysymykseen.,,,
Error,Virhe,,,
This course has not ben downloaded yet. Please check your internet connection.,Tätä kurssia ei ole vielä ladattu. Tarkista internet-yhteytesi.,,,
For an overview and reviews of this and other books of the writer go to:,Nähdäksesi yhteenvedon ja arvosteluja tästä sekä kirjailijan muista kirjoista mene osoitteeseen:,,,
Mobile Academy Feedback,Mobile Academyn palaute,,,
"Hi, We love to hear from you so please let us know your thoughts. Thanks!;","Hei, otamme mielellämme vastaan palautetta, joten kerrothan meille mielipiteesi. Kiitos!;",,,
End of introduction,Johdannon päätös,,,
"Well done, you gave all the correct answers!","Hienosti tehty, vastasit kaikkiin kohtiin oikein!",,,
End of chapter {{chapterIndex}}:,Luvun päätös {{chapterIndex}}:,,,
{{correctAnswers}} out of {{totalQuestions}} answers were correct.,{{correctAnswers}} / {{totalQuestions}} oikeaa vastausta.,,,
Hey! I am using the Mobile Academy app giving unlimited access to high quality courses on my mobile!,"Hei! Käytän Mobile Academy -sovellusta, jolla saan älypuhelimelleni rajattoman käyttöoikeuden laadukkaiden kurssien valikoimaan!",,,
Mobile Academy,Mobile Academy,,,
Love using Mobile Academy? Then leave a 5 star review in the App Store!,Rakastatko Mobile Academya? Anna sitten 5 tähden arvostelu App Storessa!,,,
Rate Now!,Arvostele nyt!,,,
Remind me later,Muistuta minua myöhemmin,,,
Never ask me again,Älä kysy enää uudelleen,,,
Send us feedback,Anna meille palautetta,,,
Get unlimited access anywhere.,Hanki rajoittamaton käyttöoikeus missä tahansa.,,,
Download the complimentary app for free.,Lataa sovellus ilmaiseksi.,,,
Get the app now for free!,Hanki sovellus nyt ilmaiseksi!,,,
Or go to the mobile site.,Tai siirry mobiilisivustolle.,,,
FREE complementary app!,ILMAINEN sovellus!,,,
Now on the App Store,Nyt App Storesta,,,
