_,ar,az,bn,de,en,es,fa,fi,fr,hi,in,it,ms,nl,no,pl,pt,ru,si,sw,th,tr,ur,vi,zh
BeBetter,"يمكنك القيام بما هو أفضل","Siz daha yaxşısını edə bilərdiniz","তুমি আরো ভালো করতে পারবে","Sie könnten besser sein","You could do better","Se podría hacer mejor","از این بهتر هم میتوانید","Pystyt parempaan","Vous pourriez faire mieux","आप बेहतर कर सकते","Anda dapat lebih baik","Potevi fare di meglio","Anda boleh melakukan dengan lebih baik","Dat had beter gekund",,,"Você pode fazer melhor","Вы можете лучше","obata wadaath hodin kireemata puluwan wiya",,คุณน่าจะทำได้ดีกว่านี้,"Daha iyisini yapabilirdiniz","آپ اچھا کر سکتے تھے","Bạn có thể làm tốt hơn",
Best_New_Courses,"أفضل المواد الجديدة","Ən yaxşı yeni kurslar","সেরা নতুন কোর্স","Die besten neuen Kurse","Best new courses","Mejores Nuevos Cursos","بهترین درس‌های جدید","Parhaat uudet kurssit","meilleurs nouveaux cours","सर्वश्रेष्ठ नए पाठ्यक्रम","Kursus baru terbaik","Migliori Nuovi Corsi","Kursus Baru yang menyeronokkan","De beste nieuwe cursussen",,,"Os Melhores Cursos Novos","Лучшие Новые курсы",,,หลักสูตรใหม่ยอดเยี่ยม,"En iyi yeni kurslar","بہترین نئے کورسز","Khóa học mới tốt nhất",
BodyLanguageCourse,"مادة لغة الجسد","Bədən dili kursu","শারীরিক ভাষা কোর্স","Kurs über Körpersprache","Body Language Course","Curso de lenguaje corporal","درس زبان بدنی","Kehonkielen kurssi","Cours de langage du corps","बॉडी लैंग्वेज कोर्स","Kursus Bahasa Tubuh","Corso sul linguaggio del corpo","Kursus Bahasa Tubuh",Lichaamstaal-cursus,,,"Curso de Linguagem Corporal","Курс Языка Тела","aangika baashaa paatamaalaawa",,หลักสูตรภาษากาย,"Beden Dili Kursu","جسمانی زبان کا کورس","Khóa học Ngôn ngữ Cơ thể",
Buy_From_External_Book_Store,,,,,"For an overview and reviews of this and other books of the writer go to:",,,"Nähdäksesi yhteenvedon ja arvosteluja tästä sekä kirjailijan muista kirjoista mene osoitteeseen:",,,"Untuk ikhtisar dan tinjauan buku ini dan buku lainnya dari penulis tersebut masuk ke:",,,,,,,,,,"สำหรับคำอธิบายคร่าว ๆ และรีวิวของหนังสือเล่มนี้และเล่มอื่น ๆ ของผู้เขียนไปยัง:","Bunun ve yazarın diğer kitaplarının bir gözden geçirmesi ve incelemesi için şuraya gidin:",,"Để xem tổng quan và đánh giá của quyển sách này, cũng như các sách khác của tác giả này, hãy truy cập:",
By,بواسطة,tərəfindən,দ্বারা,Von,By,por,توسط,Kautta,Par,द्वारा,Oleh,Tramite,oleh,Door,,,Por,согласно,magin,,โดย,Tarafından,"کی طرف سے",Bởi,
Cancel_Facebook_Request,"الرجاء الإنتظار ريثما نوصلك ب فيسبوك, اذا كانت العملية بطيئة فيرجى التأكد من سرعة الإنترنت او أنقر مرّتين للإلغاء","Xahiş edirik, facebook-a qoşulmaq üçün bir az gözləyin, əgər uzun çəkərsə iki dəfə klikləməklə imtina edin","দয়া করে অপেক্ষা করুন যতক্ষন না আমরা ফেসবুকের সাথে সংযুক্ত হচ্ছি, যদি এটা অনেক সময় নেয় তবে আপনি বাতিল করতে দুইবার খোঁচা দিন","Bitte warten Sie während wir uns mit Facebook verbinden. Wenn dies zu lange dauert können Sie doppelklicken um abzubrechen","Please wait while we connect with facebook, if this is taking too long you could double tap to cancel","Por favor espera mientras conectamos con facebook, si tarda demasiado tiempo toca dos veces para cancelar","لطفاً کمی صبر کنید تا به فیسبوک متصل شویم، اگر این کار بیش از حد طول کشید، لطفاً لغو دوبار بر روی صفحه ضربه بزنید","Odota, että saamme yhdistettyä Facebookiin - jos tämä kestää liian kauan, voit peruuttaa tuplanapautuksella","Veuillez patienter pendant que nous nous connectons sure Facebook, si cela va prendre un peu du temps veuillez vérifier votre connexion Internet ou Faites un double-clic pour annuler","कृपया प्रतीक्षा करें, जब तक हम फेसबुक से कनेक्ट कर रहे हैं, अगर इसमें काफी समय ले रहा है तो रद्द करने के लिए दो बार टैप करें","Harap menunggu selagi kami menghubungkan dengan Facebook, jika ini terlalu lama Anda dapat mengetuk dua kali untuk membatalkan","Si prega di attendere mentre ci colleghiamo con facebook, se ci sta mettendo troppo tempo potresti fare un doppio colpetto per annullare","Sila tunggu sementara kami menyambung dengan facebook , jika ini mengambil masa terlalu lama anda boleh klik dua kali untuk membatalkannya","Een moment geduld alstublieft terwijl we linken naar FB, als dit te lang duurt kunt u dubbel klikken om te annuleren",,,"Por favor aguarde enquanto nos conectamos com o Facebook, se demorar muito você pode clicar duas vezes para cancelar","Пожалуйста, подождите соединения с Facebook, если это занимает слишком много времени вы можете нажать два раза, чтобы отменить",,,"โปรดรอในขณะที่เรากำลังเชื่อมต่อกับ Facebook หากการดำเนินการนี้ใช้เวลานานเกินไป คุณอาจจะแตะสองครั้งติดกันเพื่อยกเลิก","Lütfen biz uygulama mağazasına bağlanırken bekleyin, bu çok uzun sürerse iptal etmek için çift dokunabilirsiniz","براہ کرم انتظار کریں تاکہ ہم آپ کو فیس بُک کےساتھ منسلک کردیں، اگر ایسا ہونے میں بہت وقت لگے تو منسوخی کے لئے دوبار ٹیپ کردیں!","Vui lòng chờ trong khi chúng tôi kết nối với Facebook, nếu việc này kéo dài quá lâu, bạn có thể bấm kép để hủy bỏ",
Cancel_IAP_Request,"الرجاء الإنتظار ريثما نوصلك ب مخزن التطبيقات, اذا كانت العملية بطيئة فيرجى التأكد من سرعة الإنترنت او أنقر مرّتين للإلغاء","Xahiş edirik, app store-a qoşulana kimi gözləyin, əgər qoşulma uzun çəkərsə ya internetə çıxışınızı yoxlayın, və ya iki dəfə klikləməklə imtina edin","দয়া করে অপেক্ষা করুন যতক্ষন না আমরা অ্যাপ্লিকেশন বাজারের সাথে সংযুক্ত হচ্ছি, যদি এটা অনেক সময় নেয় তবে আপনি আপনার ইন্টারনেট/বিশ্বজাল সংযোগটি পরিক্ষা করুন বা বাতিল করতে দুইবার খোঁচা দিন","Bitte warten Sie, während wir die Verbindung zum App-Store herstellen, wenn dies zu lange dauert bitte überprüfen Sie Ihre Internetverbindung oder doppelklicken um abzubrechen","Please wait while we connect to the app store, if this is taking too long please check your internet connection or double tap to cancel","Por favor espera mientras conectamos con la tienda de aplicaciones , si tarda demasiado tiempo por favor revisa tu conexión a Internet o toca dos veces para cancelar","لطفاً کمی صبر کنید تا به فروشگاه برنامه‌ها متصل شویم، اگر این کار بیش از حد طول کشید، لطفاً اتصال اینترنت خود را بررسی کنید و یا برای لغو دوبار بر روی صفحه ضربه بزنید",-,"Veuillez patienter pendant que nous nous connectons à l'app store, si cela va prendre un peu du temps veuillez vérifier votre connexion Internet ou faites un double-clic pour annuler","कृपया प्रतीक्षा करें, जब तक हम ऐप्प स्टोर से कनेक्ट कर रहे हैं, अगर यह काफी समय ले रहा है तो अपने इंटरनेट कनेक्शन की जाँच करें या रद्द करने के लिए दो बार टैप करें","Harap menunggu selagi kami menghubungkan ke app store, jika ini terlalu lama harap memeriksa koneksi internet Anda atau ketuk dua kali untuk membatalkan","Si prega di attendere mentre noi ci colleghiamo all'App Store, se ci sta mettendo troppo tempo si prega di controllare il tuo collegamento internet o fai un doppio colpetto per annullare","Sila tunggu sementara kami menyambung ke stor aplikasi , jika ini mengambil masa terlalu lama Sila semak sambungan internet anda atau klik dua kali untuk membatalkannya","Een moment geduld alstublieft terwijl we linken naar de app store, als dit te lang duurt controleer dan u internet verbinding of dubbel klik om te annuleren",,,"Por favor aguarde enquanto nos conectamos com a loja de aplicações, se demorar muito, por favor verifique a sua ligação à Internet ou clique duas vezes para cancelar","Пожалуйста, подождите подключения к магазину приложений, если это занимает слишком много времени, проверьте ваше интернет-соединение или нажмите два раза, чтобы отменить",,,"โปรดรอในขณะที่เรากำลังเชื่อมต่อกับร้านค้าแอป หากการดำเนินการนี้ใช้เวลานานเกินไป โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ หรือแตะสองครั้งติดกันเพื่อยกเลิก","Lütfen biz uygulama mağazasına bağlanırken bekleyin, bu çok uzun sürerse lütfen internet bağlantınızı kontrol edin ya da iptal etmek için çift dokunun","برائے مہربانی انتظار کریں تاکہ ہم آپ کو ایپ سٹور سے منسلک کردیں، اگر ایسا ہونے میں زیادہ وقت لگے تو براہ کرم اپنا انٹرنیٹ کنکشن دیکھیں یا منسوخی کے لئے دوبار ٹیپ کریں!","Vui lòng chờ trong khi chúng tôi kết nối với cửa hàng ứng dụng, nếu việc này kéo dài quá lâu, hãy kiểm tra kết nối Internet của bạn hoặc bấm kép để hủy bỏ",
Caution_Default_Title,تحذير,Diqqət!,সাবধানতা!,Achtung!,Caution!,¡Atención!,"دقت کنید!",Varoitus!,Attention!,सावधानी!,Perhatian!,Attenzione!,Berhati-hati!,"Let op!",,,Cuidado!,Внимание!,awawaadaya!,,ระวัง!,Dikkat!,احتیاط!,"Chú ý!",
Challenge_New_ChooseACategory,"اختيار الفئة","Kateqoriya yarat","একটি বিভাগ নির্বচন করো","Wählen Sie eine Kategorie","Select a Category","Selecciona una categoría","یک دسته را انتخاب کنید","Valitse kategoria","Choisissez une catégorie","एक श्रेणी चुनें","Pilih Kategori","Scegli una categoria","Pilih Kategori","Kies een categorie",,,"Selecionar uma Categoria","Выбрать Категорию","prabeedaya thoaranna",,เลือกหมวดหมู่,"Bir Kategori Seçin","قسم منتخب کریں","Chọn một Hạng mục",
Chapters,الأقسام,Fəsillər,অধ্যায়,Kapitel,Chapters,capítulos,بخش‌ها,Luvut,Chapitres,चैप्टर्स,Bab,Capitoli,bab,Hoofdstukken,,,Capítulos,Главы,parichcheda,,บทเรียน,Bölümler,اسباق,Chương,
Checkout_Other_Courses,"يمكنك ايضا مشاهدة موادنا المتاحة في الوقت الحالي","Digər kursları da nəzərdən keçirə bilərsiniz.","এই সময়ে তুমি আমাদের অন্যান্য কোর্স চেক করে দেখতে পারো।","Sie können sich in der Zwischenzeit unsere anderen Kurse ansehen.","You can checkout our other available courses for the meantime.","Puedes mirar otros cursos disponibles mientras tanto.","میتوانید در این زمان دیگر درسها موجود را بررسی کنید","Voit sillä aikaa katsella muita saatavilla olevia kurssejamme.","Vous pouvez vérifier nos autres cours disponibles pour le temps.","इस दौरान आप हमारे अन्य उपलब्ध पाठ्यक्रमों की जांच कर सकते हैं।","Sementara itu Anda dapat memeriksa kursus lain yang tersedia.","Nel frattempo puoi vedere gli altri nostri corsi disponibili.","Anda boleh menyemak kursus-kursus kami yang lain yang boleh diperolehi buat sementara waktu.","In de tussentijd kun je onze andere cursussen proberen.",,,"Enquanto isso, você pode ver os outros cursos já disponíveis.","Посмотрите наши другие доступные курсы.","kaalaya atharathuradee obata labaagatha haki apagee anek paatamaalaa parikshaa kala hakiya.",,"ในระหว่างนี้คุณสามารถตรวจดูหลักสูตรอื่น ๆ ของเราที่มีให้บริการ","Bu süre içerisinde mevcut diğer kurslarımıza göz atabilirsiniz.","آپ اس دوران ہمارے دیگر موجودہ کورسز کے بارے میں جان سکتے ہیں","Bạn có thể xem các khóa học khác của chúng tôi trong thời điểm hiện tại.",
ChooseLanguage,"اختر لغتك","Dilinizi seçin","তোমার ভাষা নির্বাচন করো","Wählen Sie Ihre Sprache","Choose your language","Seleccione el idioma","زبان خود را انتخاب کنید","Valitse kieli","Choisir votre langue","अपनी भाषा का चयन करें","Pilih bahasa Anda","Seleziona la tua lingua","Pilih bahasa anda","Kies je taal",,,"Selecionar a sua língua","Выбрать ваш язык","obagee baashaawa thoaranna",,เลือกภาษาของคุณ,"Dil seçin","اپنی زُبان کا انتخاب کریں","Chọn ngôn ngữ của bạn",
Close,إغلاق,Bağla,"বন্ধ করো",Schließen,Close,cerrar,بستن,Sulje,Proche,"बंद करें",Tutup,Chiudi,Tutup,Sluiten,,,Fechar,Закрыть,wasanna,,ปิด,Kapat,بندکریں,Đóng,
Congratulations,مبروك!,Təbriklər!,অভিনন্দন!,"Herzlichen Glückwunsch!","Congratulations !",¡Enhorabuena!,تبریک!,"Onneksi olkoon!",Félicitations!,"बधाई हो!",Selamat!,Congratulazioni!,"Tahniah !",Gefeliciteerd!,,,Parabéns!,Поздравляем!,"suba pathum !",,ขอแสดงความยินดีด้วย!,Tebrikler!,"مباری ہو!","Xin chúc mừng!",
Connect_With_Facebook,"سجل عن طريق فيسبوك","Facebook vasitəsilə qeydiyyatdan keç","ফেসবুক সঙ্গে সংযুক্ত হোন","Mit Facebook anmelden","Connect With Facebook","Regístrate con Facebook","به فیسبوک متصل شوید","Yhdistä Facebook-tiliisi","Inscrivez-vous avec Facebook","फेसबुक के साथ साइन अप करें","Hubungkan dengan Facebook","Iscriviti su Facebook","Berhubungan Dengan Facebook","Meld je aan met Facebook",,,"Entrar com o Facebook","Зайти через Facebook","facebook samaga sign up wanna",,"เชื่อมต่อกับ Facebook","Facebook ile bağlan","اپنے فیس بک اکاؤنٹ سے سائن اپ کریں","Kết nối với Facebook",
Connect_With_Facebook_Full,"اتصل بالفيسبوك","Facebook vasitəsilə qoşulun","ফেসবুকের সাথে সংযোগ","Mit Facebook verbinden","Connect with Facebook","Conectar con Facebook","اتصال به فیسبوک","Yhdistä Facebook-tiliisi","connectez-vous avec Facebook","फेसबुक के साथ कनेक्ट करें","Hubungkan dengan Facebook","Connettiti con Facebook","Berhubungan dengan Facebook","Aanmelden met Facebook",,,"Conectar-se com o Facebook","Войти через Facebook",,,"เชื่อมต่อด้วย Facebook","Facebook ile bağlan","فیس بُک سے منسلک ہوں","Kết nối với Facebook",
Connect_With_Facebook_Short,اربط,Qoşulma,সংযোগ,Verbinden,Connect,conectar,اتصال,Yhdistä,"se connecter",कनेक्ट,Hubungkan,Collega,Berhubung,Verbinden,,,Conectar-se,Войти,,,เชื่อมต่อ,Bağlan,"منسلک ہوں","Kết nối",
ContactUs,"اتصل بنا","Bizimlə əlaqə","আমাদের সাথে যোগাযোগ করো","Kontaktieren Sie uns","Contact Us",contáctanos,"تماس با ما","Ota yhteyttä",Contactez-nous,"हमसे संपर्क करें","Hubungi Kami",Contattaci,"Hubungi Kami","Neem contact met ons op",,,Contacte-nos,"Связаться с нами","apawa hamuwanna",,ติดต่อเรา,"Bize Ulaşın","ہم سے رابطہ کریں","Liên hệ với Chúng tôi",
ContactUs_Message_Failed,"الرجاء المحاولة مرة أخرى","Xahiş olunur, yenidən cəhd edin","আবার চেষ্টা করো।","Bitte versuchen Sie es erneut.","Please try again.","Por favor, inténtalo de nuevo.","لطفاً دوباره سعی کنید","Yritä uudelleen.","S'il vous plaît, essayez de nouveau.","पुन: प्रयास करें।","Harap coba lagi.","Riprova per favore.","Sila cuba sekali lagi.","Probeer het nog een keer.",,,"Favor tente de novo.","Попробуйте снова","karunaakara nawatha uthsaha karanna",,โปรดลองอีกครั้ง,"Lütfen tekrar deneyin.","برائے مہربانی دوبارہ کوشش کریں۔","Bạn vui lòng thử lại.",
ContactUs_Your_Message_Sent,"لقد تم ارسال رسالتك. شكرا!","Təşəkkürlər! Sizin məktubunuz göndərildi.","তোমার মেসেজ পাঠানো হয়ে গেছে। ধন্যবাদ!","Ihre Nachricht wurde gesendet. Danke!","Your message has been sent. Thank you!","Tu mensaje ha sido enviado. ¡Gracias!","پیغام شما ارسال شد. متشکریم!","Viestisi on lähetetty. Kiitos!","Votre message a été envoyé. Je vous remercie!","आपका संदेश भेज दिया गया है। धन्यवाद!","Pesan Anda telah terkirim. Terima kasih!","Il tuo messaggio è stato inviato. Grazie!","Mesej anda telah dihantar. Terima kasih !","Je bericht is verstuurd. Bedankt!",,,"A sua mensagem foi enviada. Obrigado!","Сообщение отправлено. Спасибо!","obagee paniwudaya yawana ladi. obata sthoothiyi!",,"ส่งข้อความของคุณแล้ว ขอบคุณ!","Mesajınız gönderildi. Teşekkür ederiz!","آپ کا پیغام بھیج دیا گیا ہے۔ شکریہ!","Tin nhắn của bạn đã được gửi đi. Cảm ơn bạn!",
Contact_Us,"اتصل بنا","Bizimlə əlaqə","আমাদের সাথে যোগাযোগ করো","Kontaktieren Sie uns","Contact Us",contáctanos,"تماس با ما","Ota yhteyttä",Contactez-nous,"हमसे संपर्क करें","Hubungi Kami",Contattaci,"Hubungi Kami","Neem contact met ons op",,,Contate-nos,"Связаться с нами","apawa hamuwanna",,ติดต่อเรา,"Bize Ulaşın","ہم سے رابطہ کریں","Liên hệ với Chúng tôi",
Contact_Us_Mail_Message,,,,,"Hi,<br/><br/>We love to hear from you so please let us know your thoughts.<br/><br/>Thanks!<br/><br/>The Mobile Academy Team",,,-,,,"Hai,<br/><br/>Kami ingin mendengar dari Anda, jadi silakan berikan pendapat Anda.<br/><br/>Terima kasih!<br/><br/>The Mobile Academy Team",,,,,,,,,,"สวัสดี<br/><br/>เรายินดีรับฟังความคิดเห็นจากคุณ ดังนั้นได้โปรดบอกให้เราทราบถึงความคิดของคุณ<br/><br/>ขอบคุณ!<br/><br/>ทีมงาน Mobile Academy","Hi,<br/><br/>Sizden haber almaktan memnuniyet duyuyoruz bu nedenle lütfen düşüncelerinizi bize ulaştırın.<br/><br/>Thanks!<br/><br/>Mobile Academy Ekibi",,"Xin chào,<br/><br/>Chúng tôi rất mong nhận được ý kiến của bạn, hãy viết thư cho chúng tôi.<br/><br/>Cảm ơn bạn!<br/><br/>Nhóm Học viện Di động",
Contact_Us_Mail_Subject,,,,,"Mobile Academy Feedback",,,"Mobile Academyn palaute",,,"Umpan Balik Mobile Academy",,,,,,,,,,"ผลตอบรับของ Mobile Academy","Mobile Academy Geri Bildirimi",,"Phản hồi cho Học viện Di động",
Continue,أكمل,"Davam et","চালিয়ে যান",Fortfahren,Continue,continuar,"ادامه دهید",Jatka,Continuer,"जारी रखें",Lanjutkan,Continua,Teruskan,"Ga verder",,,Continue,Продолжить,"karagena yanna",,ดำเนินการต่อ,"Devam Et","جاری رکھیں","Tiếp tục",
